, Subscribers,Avg. likes,Avg Views,Avg Commentss,ViewsCategory
113,29600000.0,4500.0,792600.0,0.0,1
114,29500000.0,50100.0,652500.0,2400.0,1
115,29100000.0,830.0,82500.0,10.0,1
116,29100000.0,0.0,83500.0,0.0,1
117,29000000.0,2300.0,85500.0,103.0,1
118,28800000.0,13700.0,133500.0,151.0,1
119,28800000.0,24600.0,2246412.5,0.0,1
120,28800000.0,419900.0,2246412.5,16500.0,1
121,28800000.0,824.0,22800.0,41.0,0
122,28800000.0,125600.0,2246412.5,6200.0,1
123,28800000.0,2600.0,45600.0,202.0,0
124,28600000.0,319500.0,2246412.5,15400.0,1
125,28500000.0,4200.0,886300.0,0.0,1
126,28300000.0,643.0,57700.0,0.0,1
127,28300000.0,0.0,252300.0,0.0,1
128,28200000.0,0.0,0.0,0.0,0
129,28100000.0,839.0,769900.0,0.0,1
130,28000000.0,7400.0,1300000.0,0.0,1
131,28000000.0,1700000.0,2246412.5,96200.0,1
132,28000000.0,2300.0,86700.0,130.0,1
133,27900000.0,78.0,3200.0,2.0,0
134,27400000.0,451900.0,2246412.5,18500.0,1
135,27300000.0,34200.0,380600.0,678.0,1
136,27200000.0,202.0,10800.0,14.0,0
137,27200000.0,1800.0,375200.0,0.0,1
138,27100000.0,1200.0,1300000.0,0.0,1
139,26700000.0,3900.0,728900.0,0.0,1
140,26600000.0,32.0,5300.0,1.0,0
141,26600000.0,3900.0,460000.0,0.0,1
142,26600000.0,5900.0,1000000.0,0.0,1
143,26500000.0,359.0,16800.0,17.0,0
144,26400000.0,1400.0,305900.0,0.0,1
145,26400000.0,14400.0,178200.0,71.0,1
146,26300000.0,48400.0,1600000.0,5100.0,1
147,26100000.0,1100.0,34600.0,86.0,0
148,25900000.0,481.0,99700.0,0.0,1
149,25800000.0,45600.0,1000000.0,647.0,1
150,25700000.0,2500.0,48600.0,36.0,0
151,25700000.0,97900.0,1100000.0,1500.0,1
152,25700000.0,62000.0,1700000.0,2200.0,1
153,25500000.0,24100.0,219800.0,1300.0,1
154,25500000.0,870800.0,2246412.5,73300.0,1
155,25500000.0,25700.0,1000000.0,1200.0,1
156,25400000.0,241.0,76300.0,0.0,1
157,25100000.0,12600.0,213100.0,437.0,1
158,25100000.0,221400.0,2246412.5,12500.0,1
159,24900000.0,11700.0,319900.0,897.0,1
160,24800000.0,327.0,28300.0,0.0,0
161,24700000.0,2500.0,92300.0,310.0,1
162,24700000.0,32700.0,350500.0,2400.0,1
163,24700000.0,28000.0,257100.0,172.0,1
164,24500000.0,3500.0,562900.0,0.0,1
165,24500000.0,3400.0,198900.0,321.0,1
166,24500000.0,10500.0,680200.0,1000.0,1
167,24500000.0,6500.0,178200.0,369.0,1
168,24500000.0,9800.0,138200.0,573.0,1
169,24500000.0,0.0,0.0,0.0,0
170,24300000.0,1100.0,12300.0,49.0,0
171,24200000.0,29700.0,894400.0,737.0,1
172,24200000.0,0.0,0.0,0.0,0
173,24100000.0,10700.0,183600.0,374.0,1
174,24100000.0,496.0,22400.0,17.0,0
175,24100000.0,51700.0,453800.0,1800.0,1
176,23900000.0,65300.0,1100000.0,1400.0,1
177,23900000.0,11300.0,251400.0,613.0,1
178,23700000.0,1700.0,328000.0,0.0,1
179,23700000.0,361300.0,2246412.5,19300.0,1
180,23600000.0,13700.0,329500.0,600.0,1
181,23600000.0,0.0,0.0,0.0,0
182,23500000.0,89.0,6600.0,8.0,0
183,23500000.0,28.0,2500.0,3.0,0
184,23500000.0,218.0,30800.0,0.0,0
185,23400000.0,474.0,45000.0,12.0,0
186,23400000.0,3500.0,367100.0,128.0,1
187,23300000.0,2300.0,26800.0,65.0,0
188,23100000.0,34800.0,1800000.0,1300.0,1
189,23000000.0,2800.0,29000.0,155.0,0
190,23000000.0,517.0,199300.0,0.0,1
191,23000000.0,4000.0,105300.0,0.0,1
192,22900000.0,244.0,9300.0,50.0,0
193,22900000.0,10300.0,224100.0,531.0,1
194,22900000.0,117.0,20200.0,7.0,0
195,22900000.0,294100.0,2246412.5,10200.0,1
196,22700000.0,832600.0,2246412.5,58200.0,1
197,22700000.0,150200.0,2200000.0,8400.0,1
198,22600000.0,1000.0,36900.0,107.0,0
199,22500000.0,15600.0,1000000.0,667.0,1
200,22500000.0,35100.0,488900.0,1200.0,1
201,22500000.0,10.0,1600.0,0.0,0
202,22400000.0,3000.0,456200.0,0.0,1
203,22400000.0,559.0,92600.0,0.0,1
204,22300000.0,1700.0,34800.0,47.0,0
205,22300000.0,10500.0,178400.0,1200.0,1
206,22300000.0,72.0,3800.0,3.0,0
207,22200000.0,1200.0,143600.0,29.0,1
208,22100000.0,719.0,78400.0,0.0,1
209,22100000.0,33100.0,2000000.0,2200.0,1
210,21900000.0,4200.0,263300.0,246.0,1
211,21900000.0,1700.0,22700.0,54.0,0
212,21900000.0,682900.0,2246412.5,24700.0,1
213,21900000.0,8200.0,1200000.0,0.0,1
214,21900000.0,1300.0,47500.0,162.0,0
215,21700000.0,81.0,9000.0,5.0,0
216,21700000.0,106200.0,2246412.5,7300.0,1
217,21600000.0,3200.0,624900.0,0.0,1
218,21600000.0,2500.0,56000.0,79.0,1
